freq,CH1,,freq2,CH2
-0.24679585,-0.09449007321431267,,-0.24679585,0.39689658458234656
-0.24678022,-0.09636359290737724,,-0.24678022,0.38734262414347387
-0.24676459,-0.09636359290737724,,-0.24676459,0.38097331718422534
-0.24674896,-0.09596212440172054,,-0.24674896,0.37141935674535265
-0.24673333,-0.09422242754387489,,-0.24673333,0.3841579706638496
-0.2467177,-0.09609594723693944,,-0.2467177,0.3777886637046011
-0.24670207,-0.09462389604953157,,-0.24670207,0.37460401022497686
-0.24668644,-0.09663123857781503,,-0.24668644,0.37460401022497686
-0.24667081,-0.09730035275390951,,-0.24667081,0.37141935674535265
-0.24665518,-0.09556065589606386,,-0.24665518,0.35868074282685564
-0.24663955,-0.09837093543566068,,-0.24663955,0.34275747542873447
-0.24662392,-0.09462389604953157,,-0.24662392,0.3554960893472314
-0.24660829,-0.09756799842434731,,-0.24660829,0.3554960893472314
-0.24659266,-0.09596212440172054,,-0.24659266,0.3554960893472314
-0.24657703,-0.09569447873128276,,-0.24657703,0.34275747542873447
-0.24656140000000001,-0.09489154171996937,,-0.24656140000000001,0.3459421289083587
-0.24654577,-0.0977018212595662,,-0.24654577,0.35231143586760716
-0.24653014,-0.09569447873128276,,-0.24653014,0.3332035149898617
-0.24651451,-0.09743417558912841,,-0.24651451,0.33638816846948594
-0.24649888,-0.09649741574259613,,-0.24649888,0.33001886151023746
-0.24648325000000001,-0.09596212440172054,,-0.24648325000000001,0.323649554550989
-0.24646762,-0.09582830156650164,,-0.24646762,0.3459421289083587
-0.24645199,-0.09582830156650164,,-0.24645199,0.31409559411211624
-0.24643636,-0.09542683306084496,,-0.24643636,0.32683420803061325
-0.24642073,-0.09609594723693944,,-0.24642073,0.3013569801936193
-0.24640510000000002,-0.09529301022562606,,-0.24640510000000002,0.30454163367324355
-0.24638947,-0.09449007321431267,,-0.24638947,0.30454163367324355
-0.24637384,-0.09689888424825283,,-0.24637384,0.3013569801936193
-0.24635821,-0.09515918739040716,,-0.24635821,0.310910940632492
-0.24634258,-0.0977018212595662,,-0.24634258,0.2949876732343708
-0.24632695000000002,-0.09689888424825283,,-0.24632695000000002,0.3013569801936193
-0.24631132,-0.09515918739040716,,-0.24631132,0.30772628715286776
-0.24629569,-0.0981032897652229,,-0.24629569,0.28861836627512233
-0.24628006,-0.09622977007215834,,-0.24628006,0.30454163367324355
-0.24626443,-0.09489154171996937,,-0.24626443,0.29180301975474654
-0.2462488,-0.09475771888475047,,-0.2462488,0.2949876732343708
-0.24623317,-0.09663123857781503,,-0.24623317,0.29180301975474654
-0.24621754,-0.09676506141303393,,-0.24621754,0.28861836627512233
-0.24620191,-0.09609594723693944,,-0.24620191,0.28543371279549806
-0.24618628,-0.09475771888475047,,-0.24618628,0.30454163367324355
-0.24617065,-0.09582830156650164,,-0.24617065,0.30454163367324355
-0.24615502,-0.09596212440172054,,-0.24615502,0.28224905931587385
-0.24613939,-0.09636359290737724,,-0.24613939,0.2790644058362496
-0.24612376,-0.09529301022562606,,-0.24612376,0.28543371279549806
-0.24610813,-0.09542683306084496,,-0.24610813,0.26314113843812836
-0.2460925,-0.09609594723693944,,-0.2460925,0.26314113843812836
-0.24607687,-0.09422242754387489,,-0.24607687,0.2726950988770011
-0.24606124000000001,-0.09529301022562606,,-0.24606124000000001,0.26951044539737684
-0.24604561,-0.09649741574259613,,-0.24604561,0.26314113843812836
-0.24602998,-0.09703270708347171,,-0.24602998,0.26314113843812836
-0.24601435,-0.09703270708347171,,-0.24601435,0.25995648495850415
-0.24599872,-0.09622977007215834,,-0.24599872,0.26314113843812836
-0.24598309000000002,-0.09529301022562606,,-0.24598309000000002,0.2567718314788799
-0.24596746,-0.0978356440947851,,-0.24596746,0.2504025245196314
-0.24595183,-0.09515918739040716,,-0.24595183,0.23766391060113445
-0.2459362,-0.09703270708347171,,-0.2459362,0.2535871779992557
-0.24592057,-0.09422242754387489,,-0.24592057,0.2504025245196314
-0.24590494000000002,-0.09408860470865599,,-0.24590494000000002,0.24403321756038293
-0.24588931,-0.09582830156650164,,-0.24588931,0.2504025245196314
-0.24587368,-0.09636359290737724,,-0.24587368,0.2567718314788799
-0.24585805,-0.09756799842434731,,-0.24585805,0.2344792571215102
-0.24584242,-0.09542683306084496,,-0.24584242,0.22492529668263747
-0.24582679000000002,-0.09569447873128276,,-0.24582679000000002,0.2344792571215102
-0.24581116,-0.09676506141303393,,-0.24581116,0.2281099501622617
-0.24579553,-0.09689888424825283,,-0.24579553,0.2408485640807587
-0.2457799,-0.09395478187343709,,-0.2457799,0.2535871779992557
-0.24576427,-0.09756799842434731,,-0.24576427,0.22492529668263747
-0.24574864,-0.09569447873128276,,-0.24574864,0.22174064320301323
-0.24573301,-0.09422242754387489,,-0.24573301,0.22492529668263747
-0.24571738,-0.09636359290737724,,-0.24571738,0.22492529668263747
-0.24570175,-0.09449007321431267,,-0.24570175,0.2121866827641405
-0.24568612,-0.09556065589606386,,-0.24568612,0.218555989723389
